iso3,year,export_usd,export_usd_agri,export_usd_fuels,export_usd_mfg,export_usd_non_agri,trade_source
KHM,2021,16949623220.01,921025322.26,11628621.18,16013531189.810001,16025245553.23,ASEANstats
KHM,2022,20750452544.579998,1013154407.14,48133820.79,19687269750.64,19735443920.429996,ASEANstats
KHM,2023,21676660006.492496,1711672991.9775,141560203.6,19819780807.115,19961357690.635,ASEANstats
KHM,2024,26663355699.912,4090210229.402,293962739.03999996,22277115038.190002,22571293350.83,ASEANstats
KHM,2025,31281013569.285015,4033889483.4289,415782539.41,26829353479.206207,27245299063.086216,ASEANstats
MMR,2010,7871068396.217127,1452922896.3362572,2943005706.71,2946475659.681644,5890001455.461642,ASEANstats
MMR,2011,7418904930.984977,1724858077.6141248,3519420597.9399996,1880117932.2094784,5400717928.089478,ASEANstats
MMR,2012,8374815859.195218,2811927634.4255157,3537396936.4417624,1940700022.8062916,5483554578.387424,ASEANstats
MMR,2013,11232890753.37058,3383869848.50615,3764554758.3351746,3099437248.3913555,6864540678.816529,ASEANstats
MMR,2014,11030641921.368134,2915588083.9400682,4273155875.0946903,3150032360.571182,7423693959.912457,ASEANstats
MMR,2015,11432342562.572533,3488827732.1723027,4861069955.0626,2496720128.243873,7358119948.396075,ASEANstats
MMR,2016,11836566477.837782,4476361978.204416,3358997406.5612903,3911228291.2830515,7270526282.574341,ASEANstats
MMR,2017,13877953288.755663,4466357118.64387,3729031229.81153,5587344182.234509,9316847404.57604,ASEANstats
MMR,2018,16703641418.862478,4662614217.656499,3656582962.07294,8358778482.883039,12015401298.11598,ASEANstats
MMR,2019,17997120540.487553,4365671322.100254,4422876117.49881,9184932306.488487,13629228639.447296,ASEANstats
MMR,2020,16949753640.154612,4856417427.34555,3505460086.08059,8586084808.768471,12091567001.75906,ASEANstats
MMR,2021,15153407713.212622,4901771478.9687805,3238235255.90677,7011226310.087069,10249534018.043839,ASEANstats
MMR,2022,17083481669.427988,4594720469.59061,4028424041.7604,8459689421.056981,12488447567.967379,ASEANstats
MMR,2023,14753234816.86541,4218236052.7035294,3601616575.25065,6933326366.81123,10534998764.161882,ASEANstats
MMR,2024,14898890725.659279,5472085929.96573,3294296598.7002,6132473908.57335,9426804795.69355,ASEANstats
MMR,2025,14566760372.58523,4184883929.2237697,3146928785.36862,7234727295.20284,10381876443.36146,ASEANstats
MYS,2010,198612140591.68942,22458774782.325397,32329279505.56956,142962011636.47507,175295716370.49884,ASEANstats
MYS,2011,228086016535.1389,30282672882.177765,41914478368.08703,154927119536.88428,196847383839.6482,ASEANstats
MYS,2012,227544077244.2573,27355413650.309982,47379573646.70464,151563599830.5675,198946837425.66193,ASEANstats
MYS,2013,228223394954.31702,24061193060.691586,51849335209.611275,151165522716.88046,203017582659.49832,ASEANstats
MYS,2014,233927349148.70963,24846092518.72229,52635272140.87278,155452877123.4312,208093405451.9734,ASEANstats
MYS,2015,199157940658.7682,20711626563.97219,34042012726.508106,143690358936.09946,177734663409.27783,ASEANstats
MYS,2016,189659167796.5431,20962782054.199383,28389414875.12921,139720794312.20496,168113638811.22238,ASEANstats
MYS,2017,217722000283.42413,21867026919.85933,35304348126.85444,159819666763.06488,195126823218.48105,ASEANstats
MYS,2018,248671683759.73267,20731970795.523846,40643997738.98648,186414605562.16486,227061965400.26468,ASEANstats
MYS,2019,238088999432.84946,20392436445.53868,36411779703.86329,180492898432.48557,216908022715.49417,ASEANstats
MYS,2020,234609548237.8355,22056502914.77293,28313955207.895576,183769699177.59753,212085615140.4409,ASEANstats
MYS,2021,299333771983.9618,29284075309.02188,39595466374.11077,229838891884.4827,269436420252.24652,ASEANstats
MYS,2022,356901004316.4687,34529104724.47438,63371333289.16084,258108279836.48868,321481635526.56494,ASEANstats
MYS,2023,312705896964.40857,27669226201.15628,54390139215.150894,229898942253.63782,284292903782.45306,ASEANstats
MYS,2024,330595077758.4328,31221898466.955254,49887805763.84517,248752417380.6071,298646952424.51544,ASEANstats
MYS,2025,435366564422.0747,41098187185.64872,52111631405.51379,341284358444.4378,393408613225.56793,ASEANstats
PHL,2010,51431703405.0,3917399243.0,1965828237.0,45547290948.0,47514304162.0,ASEANstats
PHL,2011,48042193206.0,5121339516.0,2564027540.0,40353554600.0,42918544777.0,ASEANstats
PHL,2012,51995237988.0,4819864914.0,2432445304.0,44739336793.0,47175373074.0,ASEANstats
PHL,2013,53978267908.0,5894587701.0,4493526496.0,43579966954.0,48083680207.0,ASEANstats
PHL,2014,62101619193.0,6390498828.0,4763341621.0,50934086521.0,55711120365.0,ASEANstats
PHL,2015,58648377604.0,4778944687.0,2436828034.0,51422524295.0,53869432917.0,ASEANstats
PHL,2016,56312889212.0,4958235207.0,2020976868.0,49316500112.0,51354654005.0,ASEANstats
PHL,2017,68712897400.0,6579504622.0,2235466774.0,59895000271.0,62133392778.0,ASEANstats
PHL,2018,69307425788.0,6144960632.0,2469690691.0,60688147592.0,63162465156.0,ASEANstats
PHL,2019,70926981841.0,6690712953.0,2478051785.0,61752684709.0,64236268888.0,ASEANstats
PHL,2020,65214516368.0,6215695293.0,2548337117.0,56443656231.0,58998821075.0,ASEANstats
PHL,2021,74617568026.0,6797174694.0,2899858696.0,64917540511.0,67820393332.0,ASEANstats
PHL,2022,79574105032.0,7525791232.0,3344677166.0,68701106639.0,72048313800.0,ASEANstats
PHL,2023,73617115492.0,6454338404.0,3140052970.0,64021001811.0,67162777088.0,ASEANstats
PHL,2024,84207135952.0,9121545964.0,4274077572.0,70519459227.0,74796199197.0,ASEANstats
PHL,2025,84544385733.0,9310469717.0,3709330488.0,71412914765.0,75128172772.0,ASEANstats
SGP,2010,353242611500.9312,7062258609.319991,56773352658.16436,264337815881.11902,321270956143.89276,ASEANstats
SGP,2011,416202051237.6457,9002467821.860197,81153310221.76299,293745542923.5612,375094995818.3513,ASEANstats
SGP,2012,415613947203.42316,9032174500.959557,75714020285.46274,297321759738.07623,373188353899.22424,ASEANstats
SGP,2013,419936722201.997,9890563711.913998,71507440182.27242,305189886842.38464,376915073822.97156,ASEANstats
SGP,2014,415377838202.0696,10764873382.948668,68933935890.33868,303127257341.6302,372364883703.1265,ASEANstats
SGP,2015,357905858906.3802,10292062189.062393,43839969527.73133,283587232985.7322,327759980556.864,ASEANstats
SGP,2016,338083175541.25165,9904190960.077808,37538301006.1232,274306470857.31128,312228080558.2296,ASEANstats
SGP,2017,383252438407.39484,10684038481.618431,48698643086.757416,302089529170.08044,351204507942.6703,ASEANstats
SGP,2018,411973290037.9865,13438889755.196102,54179265149.430984,317577128775.40515,372087995699.8148,ASEANstats
SGP,2019,390689883101.1405,13836455665.089554,48016031932.03889,306973097630.7356,355315208860.8075,ASEANstats
SGP,2020,374824820027.34564,12912326515.71589,30372696206.18001,310913589547.31085,341591785769.0338,ASEANstats
SGP,2021,456805200524.96295,14468284596.754396,45931487621.6937,371494670424.41956,417814089673.089,ASEANstats
SGP,2022,514873698820.629,14776388333.246473,65724094501.7393,398357614620.5191,464620186134.25366,ASEANstats
SGP,2023,475915025914.36694,13709987141.532455,58999249733.62201,369368591999.072,429845751507.80566,ASEANstats
SGP,2024,504355714556.3573,14079639598.478012,56171155636.808495,399073355134.7637,455756726340.6556,ASEANstats
SGP,2025,566835505473.2765,12820612660.922005,53502647543.70269,468625196819.2117,522982501005.9626,ASEANstats
THA,2010,193298141941.19812,26023028425.206036,10696824923.186357,156572492155.77917,167275113515.9921,ASEANstats
THA,2011,222579123577.45602,32681295305.190147,13819477615.814356,176054854471.81097,189897828272.26587,ASEANstats
THA,2012,229529278186.2057,32187824687.65572,15999055754.392431,181312882977.92935,197341453498.54996,ASEANstats
THA,2013,228730224139.12253,30889917059.798264,15260643741.81345,182573051177.05634,197840307079.32425,ASEANstats
THA,2014,227573581585.80292,32406448951.366188,13129270188.307861,182015450267.01947,195167132634.4367,ASEANstats
THA,2015,214396234864.1043,30560336914.77863,9581392037.20607,174244190769.24832,183835897949.32568,ASEANstats
THA,2016,215326624050.7492,30295243368.37907,7376884331.01722,177646560012.544,185031380682.37012,ASEANstats
THA,2017,236694183285.56335,33203570063.458298,9232204140.043747,194200904730.11594,203490613222.10504,ASEANstats
THA,2018,241010512298.93256,33816068623.25824,11120598479.123419,196055846935.86017,207194443675.67435,ASEANstats
THA,2019,246140699304.45392,35513701166.54948,9639361113.310297,200929853203.12732,210626998137.90445,ASEANstats
THA,2020,231408161789.00568,34778868695.2854,7136957852.8343,189488217596.68097,196629293093.7203,ASEANstats
THA,2021,272006084548.56607,39028033071.291306,10806119786.774202,222162875437.92468,232978051477.27478,ASEANstats
THA,2022,287424909458.833,43421183228.025696,12333539503.921,231655002862.44443,244003726230.8073,ASEANstats
THA,2023,285074291496.7967,44672215229.152695,12003189199.452898,228356259363.2545,240402076267.64398,ASEANstats
THA,2024,300739792494.52686,46339383059.8492,11178396164.009499,243197440872.31418,254400409434.67767,ASEANstats
THA,2025,339635006331.6028,46172285480.7052,9035120241.1354,284346034770.85254,293462720850.8976,ASEANstats
VNM,2010,72236663138.81609,14010867685.1546,8322941383.47,49135870085.52359,57459576326.6459,ASEANstats
VNM,2011,96905673977.0,18613990122.5652,11150582682.643799,65995094154.353294,77146435971.31471,ASEANstats
VNM,2012,114510733701.00014,19460002925.2334,11747949098.5318,81276574163.6518,93025521331.34111,ASEANstats
VNM,2013,132664094199.5,18872751289.0075,10329177877.2734,99950006479.09148,110280082176.8864,ASEANstats
VNM,2014,148091500613.0337,21624943208.4326,9025715888.7776,114435668775.5259,123462284819.72548,ASEANstats
VNM,2015,162013852036.0,20822666426.4058,5853735170.4522,132222282098.21992,138077057145.34082,ASEANstats
VNM,2016,176575077826.52274,22910132740.4534,4268501484.5905995,147072454953.96698,151342657959.784,ASEANstats
VNM,2017,213931460710.34317,25913906920.228203,5217622706.126901,180634171542.5961,185854294948.18738,ASEANstats
VNM,2018,243698700467.0,26918422230.7342,5578832543.45,207313803907.2037,212895296264.4712,ASEANstats
VNM,2019,264610323262.52142,26083780404.701797,5502883310.622601,228547546140.1386,234054453972.75412,ASEANstats
VNM,2020,281441457782.2953,25865151904.6028,4578452722.605801,248104892157.75876,252687669659.4593,ASEANstats
VNM,2021,335792597810.00006,28661072505.1124,5419091836.6192,296795317908.6469,302215686934.8913,ASEANstats
VNM,2022,370909157438.9991,31850594820.501602,6083519368.831201,327263286809.5324,333348029377.91974,ASEANstats
VNM,2023,353077513296.0009,34466622165.013405,5041966639.7407,307583791566.3127,312627071973.859,ASEANstats
VNM,2024,403240725886.1231,40536827805.8585,4695419692.9359,352052455104.55774,356749404002.5802,ASEANstats
VNM,2025,472928768897.0012,47486612237.910904,4528885291.8469,414844445905.166,419374014193.81506,ASEANstats
