iso3,country,year,export_usd,lsci,gdp_usd,population,fdi_gdp,reer,official_fx,clmv,asean6,covid,ln_export,ln_lsci,ln_gdp,ln_population,ln_lsci_lag1,data_complete,export_usd_agri,export_usd_mfg,ln_export_agri,ln_export_mfg,lsci_lag1,fx_growth,lsci_quarters,lsci_partial_year
MYS,Malaysia,2021,299333771983.9618,473.33377,373784553029.978,34282399.0,5.41626377085161,83.1060919893354,4.14329759817721,0,1,1,26.424825082004688,6.159800784461982,26.646945406956647,17.350142631742276,6.14974212634508,1,29284075309.02188,269436420252.2465,24.100309700405614,26.3195982820312,468.5965325,-0.014317737313666035,4,0
MYS,Malaysia,2022,356901004316.4687,477.81565,407830525989.553,34695493.0,3.68486215546291,81.9164182218074,4.40107634540072,0,1,0,26.6007242814382,6.169224988645797,26.734117547580865,17.362120351755113,6.159800784461982,1,34529104724.47438,321481635526.56494,24.26506842054258,26.496206257768858,473.33377,0.06221584163708549,4,0
MYS,Malaysia,2023,312705896964.40857,493.3251475,399949418752.657,35126298.0,1.97990062716743,79.875532533729,4.56062343240897,0,1,0,26.46852895944924,6.201168485046982,26.714603922940167,17.374460638672065,6.169224988645797,1,27669226201.15628,284292903782.45306,24.043586665090615,26.373270894976876,477.81565,0.036251833525901445,4,0
MYS,Malaysia,2024,330595077758.4328,491.4130175,422227005428.688,35557673.0,3.6930953933026,80.8222421674115,4.5764279106858,0,1,0,26.524160133409527,6.197284950375199,26.768808933907394,17.38666652777361,6.201168485046982,1,31221898466.955254,298646952424.51544,24.1643855595044,26.42252795156744,493.3251475,0.0034654205748538836,4,0
MYS,Malaysia,2025,435366564422.0747,517.454095,472193128644.597,35977838.0,,85.2571212619238,4.28442415048243,0,1,0,26.799454190014664,6.2489208158909655,26.880653909701596,17.39841369574295,6.197284950375199,1,41098187185.64872,393408613225.56793,24.4392298500707,26.698114636981895,491.4130175,-0.06380604390632971,4,0
PHL,Philippines,2010,51431703405.0,130.2891975,208368893151.144,96337125.0,0.513698049517659,100.0,45.1096641800896,0,1,0,24.663520617028617,4.869756575859007,26.062575870574804,18.38336431649561,,1,3917399243.0,47514304162.0,22.088693812144484,24.584296642906015,,,4,0
PHL,Philippines,2011,48042193206.0,137.81806,234216730291.32,98248614.0,0.856963002985963,100.280191971433,43.3131369237488,0,1,0,24.59534548686297,4.925934409498542,26.17951272147372,18.403011701743914,4.869756575859007,1,5121339516.0,42918544777.0,22.35668186599893,24.4825698486588,130.2891975,-0.03982577323494574,4,0
PHL,Philippines,2012,51995237988.0,134.0695875,261920540962.63,100175512.0,1.22763000703119,104.835583267813,42.2287947349434,0,1,0,24.67441797418055,4.898358974857786,26.291307015940614,18.422434325529075,4.925934409498542,1,4819864914.0,47175373074.0,22.2960117384751,24.57713783646864,137.81806,-0.02503494934376016,4,0
PHL,Philippines,2013,53978267908.0,147.775285,283902828588.718,102076336.0,1.31642638378197,107.635504272725,42.4461848306739,0,1,0,24.711847356359353,4.995692775316254,26.371897863703346,18.441231483499642,4.898358974857786,1,5894587701.0,48083680207.0,22.49730042803178,24.596208667650888,134.0695875,0.005147911445140485,4,0
PHL,Philippines,2014,62101619193.0,145.80259999999998,297483555338.044,103767130.0,1.92937522802216,106.305112083626,44.3951543042097,0,1,0,24.852037899507277,4.9822536520630205,26.41862478422967,18.45765981187992,4.995692775316254,1,6390498828.0,55711120365.0,22.578078166138795,24.743445611439277,147.775285,0.04591624621413248,4,0
